;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_learning_rate;param_max_depth;param_n_estimators;params;split0_test_r2;split1_test_r2;split2_test_r2;split3_test_r2;split4_test_r2;mean_test_r2;std_test_r2;rank_test_r2;split0_test_neg_root_mean_squared_error;split1_test_neg_root_mean_squared_error;split2_test_neg_root_mean_squared_error;split3_test_neg_root_mean_squared_error;split4_test_neg_root_mean_squared_error;mean_test_neg_root_mean_squared_error;std_test_neg_root_mean_squared_error;rank_test_neg_root_mean_squared_error
44;10,39698005;0,169701566;0,002402401;0,000490194;0,01;9;10;{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 10};0,111526069;0,131197177;0,119831998;0,112937606;0,103621895;0,115822949;0,009253037;49;-5,646216401;-6,069541035;-6,16285984;-5,967541981;-5,11242984;-5,791717819;0,381693358;49
30;104,6465117;4,369716773;0,00480442;0,000400448;0,001;9;100;{'learning_rate': 0.001, 'max_depth': 9, 'n_estimators': 100};0,111007281;0,1279493;0,119498546;0,111906243;0,104592861;0,114990846;0,008021752;50;-5,647864596;-6,080875443;-6,164027132;-5,971010121;-5,109660174;-5,794687493;0,384766;50
40;9,357485151;0,848397148;0,002001715;1,78E-07;0,01;7;10;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 10};0,109690562;0,126023875;0,116211762;0,11054867;0,097261305;0,111947235;0,009370839;51;-5,652045677;-6,087584809;-6,175521124;-5,975572132;-5,130536368;-5,804252022;0,380664773;51
26;80,47432084;1,037926956;0,005004501;0,002282465;0,001;7;100;{'learning_rate': 0.001, 'max_depth': 7, 'n_estimators': 100};0,109055795;0,12533974;0,116128574;0,11056107;0,095534319;0,1113239;0,009742338;52;-5,654060197;-6,089966975;-6,175811757;-5,975530478;-5,135441515;-5,806162184;0,379176164;52
36;5,944969702;0,094408223;0,001801634;0,000400376;0,01;5;10;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 10};0,102497586;0,117238017;0,10338286;0,102323758;0,101877732;0,105463991;0,005907295;53;-5,674831711;-6,118106758;-6,220180984;-6,003137136;-5,117401281;-5,826731574;0,399260289;53
22;59,38329072;1,834021341;0,003202915;0,000400424;0,001;5;100;{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 100};0,101763674;0,116810633;0,102854961;0,102095346;0,101382071;0,104981337;0,005934488;54;-5,67715147;-6,119587603;-6,222011833;-6,003900831;-5,118813195;-5,828292986;0,399226886;54
32;3,611659384;0,20750834;0,001401472;0,000490427;0,01;3;10;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 10};0,089918995;0,09101016;0,084213379;0,082005252;0,081184392;0,085666436;0,004055712;55;-5,71446003;-6,208329444;-6,286322393;-6,070696164;-5,17601973;-5,891165552;0,407831213;55
18;36,78612261;0,670953712;0,002201939;0,000400233;0,001;3;100;{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 100};0,08964001;0,089991078;0,083019947;0,081581087;0,080462452;0,084938915;0,004064992;56;-5,715335846;-6,211808594;-6,290417155;-6,072098502;-5,178052807;-5,893542581;0,408501691;56
29;52,58234558;2,755131702;0,003002787;1,17E-07;0,001;9;50;{'learning_rate': 0.001, 'max_depth': 9, 'n_estimators': 50};0,058624215;0,065953802;0,064654024;0,059401512;0,048380964;0,059402904;0,006206095;57;-5,81188063;-6,293314254;-6,353099305;-6,144980895;-5,267606217;-5,97417626;0,400046761;57
15;535,6797375;20,20226888;0,014813471;0,000400448;0,0001;9;500;{'learning_rate': 0.0001, 'max_depth': 9, 'n_estimators': 500};0,058579377;0,066079613;0,064262744;0,059090668;0,048610201;0,059324521;0,006089727;58;-5,81201904;-6,292890404;-6,354428003;-6,145996189;-5,266971718;-5,974461071;0,400530899;58
